population=2498 receivers=29 max_gws=10 tau=3.0
conditions=483 total_condition_message_hits_lt2=19695
max_condition_lt2_pct=11.128903
verdict=OPEN: fallback invoked; regenerate affected DIFF outputs

condition,max_gws,messages,zero,one,lt2,lt2_pct,min,median,max
E2_D1000_top2_dir3,10,2498,15,11,26,1.040833,0,5.0,44
E2_D1000_top3_dir0,10,2498,3,5,8,0.320256,0,5.0,44
E2_D1000_top3_dir1,10,2498,2,4,6,0.240192,0,5.0,44
E2_D1000_top3_dir2,10,2498,7,3,10,0.400320,0,5.0,44
E2_D1000_top3_dir3,10,2498,1,7,8,0.320256,0,5.0,44
E2_D1000_top4_dir0,10,2498,3,3,6,0.240192,0,5.0,44
E2_D1000_top4_dir1,10,2498,8,7,15,0.600480,0,5.0,44
E2_D1000_top4_dir2,10,2498,10,11,21,0.840673,0,5.0,44
E2_D1000_top4_dir3,10,2498,6,10,16,0.640512,0,5.0,44
E2_D1000_top5_dir0,10,2498,5,5,10,0.400320,0,5.0,44
E2_D1000_top5_dir1,10,2498,6,14,20,0.800641,0,5.0,44
E2_D1000_top5_dir2,10,2498,4,9,13,0.520416,0,5.0,44
E2_D1000_top5_dir3,10,2498,6,8,14,0.560448,0,5.0,44
E2_D1000_top6_dir0,10,2498,8,6,14,0.560448,0,5.0,44
E2_D1000_top6_dir1,10,2498,8,12,20,0.800641,0,5.0,44
E2_D1000_top6_dir2,10,2498,5,8,13,0.520416,0,5.0,44
E2_D1000_top6_dir3,10,2498,6,5,11,0.440352,0,5.0,44
E2_D1000_top7_dir0,10,2498,16,22,38,1.521217,0,5.0,44
E2_D1000_top7_dir1,10,2498,5,18,23,0.920737,0,5.0,44
E2_D1000_top7_dir2,10,2498,22,29,51,2.041633,0,5.0,44
E2_D1000_top7_dir3,10,2498,9,15,24,0.960769,0,5.0,44
E2_D1000_top8_dir0,10,2498,3,11,14,0.560448,0,5.0,44
E2_D1000_top8_dir1,10,2498,46,25,71,2.842274,0,5.0,44
E2_D1000_top8_dir2,10,2498,21,26,47,1.881505,0,5.0,44
E2_D1000_top8_dir3,10,2498,9,6,15,0.600480,0,5.0,45
E2_D1000_top9_dir0,10,2498,7,10,17,0.680544,0,5.0,45
E2_D1000_top9_dir1,10,2498,5,9,14,0.560448,0,5.0,44
E2_D1000_top9_dir2,10,2498,56,57,113,4.523619,0,5.0,44
E2_D1000_top9_dir3,10,2498,53,50,103,4.123299,0,5.0,44
E2_D1000_top10_dir0,10,2498,8,5,13,0.520416,0,5.0,44
E2_D1000_top10_dir1,10,2498,5,5,10,0.400320,0,5.0,44
E2_D1000_top10_dir2,10,2498,7,10,17,0.680544,0,5.0,44
E2_D1000_top10_dir3,10,2498,15,11,26,1.040833,0,5.0,45
E2_D1000_top11_dir0,10,2498,2,5,7,0.280224,0,5.0,45
E2_D1000_top11_dir1,10,2498,5,7,12,0.480384,0,5.0,44
E2_D1000_top11_dir2,10,2498,15,14,29,1.160929,0,5.0,44
E2_D1000_top11_dir3,10,2498,24,22,46,1.841473,0,5.0,44
E2_D1000_top12_dir0,10,2498,5,3,8,0.320256,0,5.0,45
E2_D1000_top12_dir1,10,2498,3,2,5,0.200160,0,5.0,45
E2_D1000_top12_dir2,10,2498,3,9,12,0.480384,0,5.0,45
E2_D1000_top12_dir3,10,2498,21,21,42,1.681345,0,5.0,44
E2_D1000_top13_dir0,10,2498,16,9,25,1.000801,0,5.0,44
E2_D1000_top13_dir1,10,2498,8,7,15,0.600480,0,5.0,44
E2_D1000_top13_dir2,10,2498,22,18,40,1.601281,0,5.0,44
E2_D1000_top13_dir3,10,2498,17,11,28,1.120897,0,5.0,44
E2_D1000_top14_dir0,10,2498,10,6,16,0.640512,0,5.0,44
E2_D1000_top14_dir1,10,2498,25,22,47,1.881505,0,5.0,44
E2_D1000_top14_dir2,10,2498,91,73,164,6.565252,0,4.0,43
E2_D1000_top14_dir3,10,2498,6,8,14,0.560448,0,5.0,44
E2_D5000_top1_dir0,10,2498,4,2,6,0.240192,0,5.0,44
E2_D5000_top1_dir1,10,2498,4,2,6,0.240192,0,5.0,44
