run,map,n,D_m,window,N,map_n,source,k,arm,S_display,method,median_m,effect_pct,draws,line,min_m,max_m
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,3,bottom,0.003,ABS,560.0,-0.1,4,132,560.0,561.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,3,bottom,0.003,DIFF,1118.0,1.2,4,132,1115.0,1119.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,3,bottom,0.003,Min-Max,443.0,0.1,4,132,442.0,443.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,3,random,0.116,WCL,580.0,5.5,8,134,,
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,3,random,0.116,ABS,568.0,1.4,8,134,,
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,3,random,0.116,DIFF,1085.0,-1.7,8,134,,
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,3,random,0.116,Min-Max,458.0,3.5,8,134,,
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,4,top,0.346,WCL,657.0,19.5,4,135,580.0,764.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,4,top,0.346,ABS,609.0,8.6,4,135,556.0,705.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,4,top,0.346,DIFF,1135.0,2.8,4,135,1023.0,1154.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,4,top,0.346,Min-Max,504.0,13.9,4,135,446.0,583.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,4,bottom,0.008,WCL,559.0,1.7,4,137,550.0,559.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,4,bottom,0.008,ABS,561.0,0.1,4,137,561.0,561.0
